iter	Passed	Remaining
0	230	230561
1	242	120801
2	249	83053
3	261	65004
4	267	53314
5	272	45175
6	279	39592
7	285	35421
8	289	31922
9	295	29252
10	300	27011
11	306	25208
12	309	23500
13	315	22199
14	320	21066
15	326	20084
16	331	19149
17	336	18334
18	339	17539
19	345	16917
20	350	16345
21	356	15839
22	362	15382
23	367	14948
24	373	14565
25	379	14223
26	385	13876
27	389	13530
28	395	13241
29	400	12961
30	406	12709
31	412	12474
32	417	12248
33	423	12036
34	427	11798
35	433	11608
36	439	11427
37	444	11248
38	450	11088
39	455	10940
40	462	10808
41	467	10666
42	471	10489
43	476	10362
44	482	10241
45	486	10079
46	491	9969
47	497	9863
48	502	9753
49	508	9659
50	513	9562
51	519	9479
52	525	9398
53	532	9320
54	537	9240
55	543	9165
56	549	9090
57	555	9019
58	561	8948
59	566	8880
60	572	8816
61	578	8750
62	584	8691
63	590	8631
64	595	8561
65	600	8503
66	606	8446
67	611	8386
68	617	8334
69	623	8286
70	629	8238
71	633	8169
72	639	8125
73	645	8074
74	650	8027
75	656	7981
76	662	7936
77	668	7897
78	673	7856
79	679	7815
80	685	7778
81	690	7727
82	694	7678
83	701	7647
84	706	7605
85	712	7567
86	717	7534
87	723	7498
88	729	7464
89	734	7428
90	740	7396
91	746	7367
92	752	7336
93	758	7305
94	763	7277
95	769	7247
96	775	7220
97	781	7194
98	784	7143
99	790	7114
100	796	7089
101	800	7045
102	804	7009
103	810	6980
104	813	6938
105	819	6912
106	825	6892
107	830	6859
108	835	6830
109	844	6830
110	848	6795
111	852	6762
112	855	6716
113	859	6677
114	864	6652
115	869	6629
116	875	6610
117	881	6591
118	888	6576
119	893	6554
120	899	6532
121	904	6512
122	910	6494
123	916	6474
124	920	6446
125	926	6428
126	932	6409
127	938	6394
128	944	6377
129	950	6359
130	956	6341
131	961	6325
132	967	6309
133	973	6291
134	979	6274
135	985	6258
136	990	6240
137	996	6225
138	1003	6212
139	1007	6188
140	1012	6168
141	1017	6150
142	1023	6135
143	1029	6122
144	1035	6104
145	1041	6090
146	1046	6072
147	1052	6059
148	1058	6044
149	1064	6034
150	1070	6021
151	1076	6006
152	1082	5991
153	1087	5976
154	1094	5965
155	1100	5953
156	1105	5935
157	1111	5921
158	1117	5908
159	1122	5894
160	1128	5882
161	1134	5869
162	1140	5857
163	1147	5846
164	1153	5835
165	1159	5826
166	1165	5813
167	1171	5800
168	1177	5790
169	1183	5777
170	1189	5765
171	1194	5752
172	1200	5739
173	1206	5728
174	1212	5715
175	1217	5701
176	1223	5687
177	1228	5673
178	1234	5660
179	1239	5647
180	1245	5635
181	1251	5623
182	1256	5611
183	1262	5599
184	1268	5587
185	1274	5577
186	1280	5565
187	1285	5553
188	1291	5541
189	1296	5529
190	1302	5516
191	1310	5514
192	1315	5499
193	1320	5484
194	1325	5472
195	1331	5459
196	1336	5449
197	1342	5436
198	1347	5425
199	1353	5412
200	1358	5400
201	1364	5388
202	1368	5371
203	1373	5358
204	1378	5347
205	1384	5334
206	1388	5320
207	1394	5309
208	1399	5298
209	1405	5288
210	1411	5279
211	1417	5270
212	1423	5260
213	1429	5251
214	1433	5233
215	1438	5222
216	1444	5212
217	1450	5203
218	1456	5193
219	1461	5182
220	1467	5173
221	1473	5164
222	1479	5155
223	1483	5140
224	1489	5129
225	1494	5118
226	1500	5109
227	1506	5101
228	1512	5091
229	1518	5083
230	1533	5105
231	1537	5090
232	1543	5080
233	1549	5071
234	1555	5063
235	1561	5055
236	1567	5046
237	1573	5037
238	1579	5028
239	1584	5018
240	1590	5010
241	1596	5001
242	1602	4993
243	1609	4985
244	1614	4975
245	1620	4967
246	1626	4959
247	1632	4950
248	1639	4943
249	1644	4933
250	1650	4925
251	1656	4918
252	1662	4909
253	1669	4904
254	1676	4897
255	1682	4889
256	1687	4879
257	1693	4870
258	1699	4860
259	1705	4853
260	1711	4844
261	1716	4835
262	1721	4825
263	1727	4816
264	1732	4805
265	1737	4795
266	1743	4787
267	1749	4778
268	1755	4769
269	1759	4756
270	1765	4748
271	1771	4740
272	1775	4729
273	1781	4721
274	1787	4712
275	1793	4704
276	1799	4696
277	1805	4687
278	1810	4679
279	1816	4672
280	1822	4663
281	1828	4655
282	1833	4646
283	1839	4638
284	1845	4630
285	1851	4621
286	1856	4613
287	1860	4599
288	1865	4590
289	1871	4582
290	1876	4573
291	1882	4564
292	1888	4555
293	1893	4547
294	1899	4538
295	1904	4529
296	1909	4520
297	1915	4511
298	1920	4503
299	1926	4495
300	1932	4487
301	1937	4478
302	1943	4470
303	1949	4462
304	1954	4454
305	1960	4446
306	1966	4438
307	1972	4430
308	1976	4420
309	1982	4412
310	1988	4404
311	1994	4397
312	1997	4385
313	2003	4377
314	2009	4369
315	2015	4362
316	2021	4354
317	2026	4346
318	2032	4339
319	2038	4331
320	2044	4324
321	2050	4316
322	2055	4308
323	2061	4301
324	2067	4294
325	2073	4286
326	2079	4279
327	2084	4271
328	2090	4263
329	2096	4256
330	2102	4249
331	2108	4242
332	2114	4235
333	2120	4228
334	2126	4221
335	2132	4215
336	2138	4207
337	2144	4200
338	2150	4193
339	2156	4186
340	2162	4178
341	2167	4171
342	2172	4161
343	2178	4153
344	2183	4145
345	2189	4138
346	2194	4130
347	2200	4123
348	2206	4116
349	2213	4110
350	2219	4103
351	2225	4096
352	2230	4088
353	2236	4081
354	2242	4075
355	2249	4068
356	2255	4061
357	2261	4055
358	2267	4048
359	2273	4041
360	2279	4034
361	2285	4027
362	2291	4020
363	2297	4013
364	2303	4006
365	2308	3999
366	2315	3992
367	2320	3985
368	2326	3978
369	2332	3972
370	2338	3965
371	2344	3957
372	2350	3950
373	2356	3944
374	2362	3937
375	2368	3930
376	2374	3923
377	2380	3916
378	2385	3909
379	2391	3902
380	2397	3895
381	2403	3887
382	2408	3879
383	2413	3871
384	2418	3863
385	2424	3856
386	2429	3848
387	2435	3842
388	2441	3834
389	2446	3826
390	2452	3819
391	2457	3811
392	2463	3805
393	2469	3797
394	2474	3790
395	2479	3782
396	2485	3775
397	2491	3768
398	2496	3760
399	2502	3753
400	2508	3746
401	2514	3739
402	2520	3733
403	2526	3726
404	2531	3719
405	2537	3712
406	2543	3706
407	2549	3698
408	2555	3692
409	2561	3686
410	2567	3679
411	2573	3672
412	2579	3665
413	2585	3659
414	2591	3652
415	2597	3646
416	2603	3639
417	2609	3633
418	2614	3625
419	2620	3619
420	2626	3612
421	2632	3605
422	2639	3599
423	2644	3593
424	2650	3586
425	2656	3580
426	2662	3573
427	2669	3566
428	2674	3560
429	2681	3553
430	2686	3547
431	2692	3540
432	2698	3533
433	2704	3527
434	2709	3518
435	2714	3511
436	2720	3504
437	2725	3497
438	2731	3490
439	2737	3484
440	2743	3477
441	2749	3470
442	2755	3464
443	2761	3457
444	2766	3450
445	2772	3443
446	2778	3437
447	2784	3430
448	2790	3423
449	2795	3417
450	2801	3410
451	2807	3403
452	2812	3396
453	2818	3389
454	2823	3382
455	2829	3375
456	2835	3368
457	2841	3362
458	2847	3356
459	2853	3349
460	2858	3342
461	2864	3335
462	2869	3328
463	2875	3321
464	2881	3315
465	2886	3308
466	2893	3302
467	2899	3295
468	2904	3288
469	2910	3282
470	2916	3275
471	2921	3268
472	2927	3261
473	2932	3254
474	2937	3247
475	2943	3240
476	2949	3234
477	2955	3228
478	2961	3221
479	2967	3215
480	2973	3208
481	2979	3202
482	2985	3195
483	2991	3189
484	2997	3182
485	3003	3176
486	3009	3169
487	3014	3162
488	3020	3156
489	3026	3150
490	3032	3143
491	3038	3136
492	3043	3130
493	3049	3123
494	3055	3117
495	3061	3110
496	3067	3104
497	3072	3097
498	3078	3090
499	3083	3083
500	3089	3077
501	3095	3070
502	3101	3064
503	3107	3057
504	3113	3051
505	3118	3044
506	3124	3038
507	3130	3031
508	3136	3025
509	3141	3018
510	3147	3012
511	3153	3005
512	3159	2999
513	3164	2992
514	3170	2985
515	3176	2979
516	3181	2972
517	3187	2965
518	3190	2957
519	3196	2950
520	3202	2943
521	3207	2937
522	3213	2931
523	3219	2924
524	3225	2918
525	3230	2911
526	3236	2905
527	3242	2899
528	3248	2892
529	3254	2886
530	3260	2879
531	3266	2873
532	3271	2866
533	3276	2859
534	3282	2852
535	3287	2846
536	3293	2839
537	3299	2833
538	3304	2826
539	3310	2820
540	3315	2813
541	3321	2806
542	3327	2800
543	3332	2793
544	3338	2787
545	3343	2780
546	3349	2773
547	3355	2767
548	3360	2760
549	3366	2754
550	3371	2747
551	3377	2740
552	3382	2734
553	3388	2727
554	3393	2720
555	3396	2712
556	3402	2705
557	3407	2698
558	3412	2692
559	3418	2685
560	3423	2679
561	3429	2672
562	3434	2666
563	3440	2659
564	3446	2653
565	3451	2646
566	3457	2640
567	3463	2633
568	3468	2627
569	3473	2620
570	3479	2614
571	3482	2605
572	3488	2599
573	3493	2592
574	3499	2586
575	3504	2580
576	3510	2573
577	3516	2567
578	3521	2560
579	3527	2554
580	3533	2548
581	3538	2541
582	3544	2535
583	3549	2528
584	3555	2522
585	3561	2516
586	3566	2509
587	3572	2503
588	3577	2496
589	3583	2489
590	3588	2483
591	3592	2475
592	3598	2469
593	3604	2463
594	3609	2457
595	3615	2450
596	3620	2444
597	3626	2438
598	3632	2431
599	3637	2425
600	3643	2418
601	3648	2412
602	3654	2405
603	3659	2399
604	3664	2392
605	3669	2386
606	3675	2379
607	3680	2373
608	3686	2366
609	3692	2360
610	3697	2354
611	3703	2347
612	3708	2341
613	3713	2334
614	3719	2328
615	3725	2322
616	3730	2315
617	3736	2309
618	3741	2303
619	3747	2296
620	3753	2290
621	3759	2284
622	3764	2278
623	3769	2271
624	3775	2265
625	3780	2258
626	3785	2252
627	3791	2245
628	3796	2239
629	3802	2232
630	3807	2226
631	3813	2220
632	3819	2214
633	3823	2207
634	3828	2200
635	3833	2194
636	3839	2187
637	3844	2181
638	3850	2175
639	3855	2168
640	3860	2162
641	3866	2156
642	3871	2149
643	3877	2143
644	3883	2137
645	3888	2131
646	3894	2124
647	3899	2118
648	3905	2112
649	3910	2105
650	3916	2099
651	3922	2093
652	3928	2087
653	3932	2080
654	3938	2074
655	3944	2068
656	3949	2062
657	3955	2055
658	3961	2049
659	3966	2043
660	3972	2037
661	3978	2031
662	3983	2024
663	3989	2018
664	3995	2012
665	4001	2006
666	4007	2000
667	4013	1994
668	4019	1988
669	4025	1982
670	4031	1976
671	4037	1970
672	4043	1964
673	4049	1958
674	4055	1952
675	4061	1946
676	4067	1940
677	4073	1934
678	4079	1928
679	4085	1922
680	4090	1916
681	4096	1910
682	4102	1903
683	4108	1897
684	4114	1892
685	4119	1885
686	4125	1879
687	4131	1873
688	4137	1867
689	4143	1861
690	4149	1855
691	4154	1849
692	4160	1843
693	4166	1837
